"INCIDENTNAME","total","missing_patiocarport"
"Pleasant",2,0
"Pioneer",1,0
"Pine Flat",1,0
"Pickup",14,0
"Pickett",41,0
"Peter",70,0
"Perch",7,0
"Pedro",36,0
"Pebble",12,0
"Peak",9,0
"Peach",1,0
"Pay",49,0
"Pawnee",29,0
"Patricia",1,0
"Park",2102,0
"Pack",50,0
"Pablo",1,0
"Owens River",7,0
"Osprey",1,0
"Osborn",1,0
"Orange",19,0
"Omega",8,0
"Oliveira",2,0
"Olinda",4,0
"Oak Valley ",1,0
"Oak",761,0
"Nuns",1554,0
"North Complex",3205,0
"Nixon",119,0
"Nicolaus",1,0
"Nelson",14,0
"Nelda",4,0
"Murray",2,0
"Mountain",1905,0
"Mosquito",667,0
"Monument",290,0
"Montero",8,0
"Montana",2,0
"Montaire",1,0
"Mission",11,0
"Mines",1,0
"Mindy",40,0
"Milton",1,0
"Miller",5,0
"Mill",309,0
"Meyers",4,0
"Mecca ",1,0
"Meacham ",5,0
"Meacham",24,0
"McLane",1,0
"McKinney",357,0
"McFarland",138,0
"McCourtney",14,0
"McCauley",6,0
"Matlock",2,0
"Mart",2,0
"Marshall",2,0
"Marsh",1,0
"Maria",4,0
"Mallard",7,0
"Mad",4,0
"MMU LightningComplex",3,0
"Lower",9,0
"Long",3,0
"Loma",29,0
"Lobo",51,0
"Little",11,0
"Line",340,0
"Lilac",246,0
"Liberty",23,0
"Leonard",2,0
"Laverne",32,0
"Lava",145,0
"Laura 2",67,0
"Lauer ",1,0
"Lassen",8,0
"Laporte",76,0
"Lanford",4,0
"Lake",96,0
"LNU Lightning Cmplx",5121,0
"Krueger",2,0
"Klamathon",95,0
"Kirkwood",5,0
"King",1,0
"Kincaid",3,0
"Kincade",1568,0
"Kidder",1,0
"Juniper ",8,0
"Juniper",59,0
"Junes",7,0
"Jones",36,0
"John 2",8,0
"John",9,0
"James",10,0
"Island",6,0
"Irish",2,0
"Intanko",2,0
"Hyatt",5,0
"Hummingbird",6,0
"Horseshoe",14,0
"Horse",2,0
"Hopkins",83,0
"Homestead",1,0
"Holy",43,0
"Holiday",27,0
"Hog",2,0
"Hodson",1,0
"Hilton",1,0
"Hill",30,0
"Highland",67,0
"High",1,0
"Hesperia",1,0
"Henderson",3,0
"Helena",139,0
"Heather",5,0
"Harney",1,0
"Happy Camp Complex",29,0
"Hadley",4,0
"Gyle",4,0
"Gunsmoke",7,0
"Gulch",5,0
"Grove",13,0
"Gray",21,0
"Grant",7,0
"Graham",6,0
"Grade",13,0
"Goose",10,0
"Gold",34,0
"Glen",17,0
"Glass",4767,0
"Gifford",21,0
"Getty",42,0
"Garza",1,0
"Garnet",18,0
"Frost",11,0
"French",606,0
"Fremont",2,0
"Frazier",2,0
"Franklin",738,0
"Fork",133,0
"Ford",2,0
"Foothill",5,0
"Flowers",1,0
"Flats",4,0
"Firestone",5,0
"Fiddletown",3,0
"Feather",7,0
"Fay",1,0
"Fawn",730,0
"Fairview",366,0
"FKU June Lightning",37,0
"Evergreen",12,0
"Everett",6,0
"Estate",15,0
"Erskine",409,0
"Enterprise Bridge ",2,0
"Emerald",16,0
"El Dorado",16,0
"Eaton",18428,0
"East Side",7,0
"Eagle",1,0
"Dutcher",1,0
"Dusty",2,0
"Dustin",3,0
"Driver",12,0
"Dorvel",7,0
"Dogs",2,0
"Dixie",3841,0
"Dibble",1,0
"Detwiler",155,0
"Dersch ",3,0
"Deon",9,0
"Delta",46,0
"Deer",5,0
"Dale",3,0
"Crews",4,0
"Creekside",2,0
"Creek",3467,0
"Cranston",17,0
"Coyote ",4,0
"Coyote",22,0
"County",130,0
"Corral",4,0
"Corning",4,0
"Conner",6,0
"Colusa",1,0
"Colorado",15,0
"Coffee Pot",2,0
"Cocos",49,0
"Coches 2",143,0
"Coastal",133,0
"Clover",222,0
"Clifton",13,0
"Clearwater",1,0
"Clear",1,0
"Clayton",327,0
"Clark",1,0
"Citrus",1,0
"Circle",12,0
"Chimney",78,0
"Chevy",6,0
"Cherokee",7,0
"Cathedral",3,0
"Cascade",274,0
"Cartago",4,0
"Carr",1890,0
"Carol",3,0
"Carmel",1,0
"Carder",1,0
"Canyon 2",80,0
"Canyon",156,0
"Camp",23624,0
"Cameron",3,0
"Camanche",3,0
"Calgary",10,0
"Caldor",4444,0
"Cache",93,0
"CZU Lightning Cmplx",4820,0
"Butte",964,0
"Bullion",21,0
"Bug",2,0
"Bucks",4,0
"Brownell",2,0
"Broiler",7,0
"Bridge",925,0
"Branding",2,0
"Branch",8,0
"Bradford",16,0
"Borel",507,0
"Border 32",140,0
"Boone",78,0
"Booker",1,0
"Bonny",17,0
"Boneyard",39,0
"Bond",571,0
"Bonanza",24,0
"Boles",250,0
"Bogus",5,0
"Bobcat",228,0
"Blue Ridge",326,0
"Blake ",5,0
"Blake",11,0
"Black",11,0
"Beckwourth",514,0
"Bear",24,0
"Bass",5,0
"Bart",1,0
"Band",12,0
"Baker",1,0
"BEU Lightning Cmplx",589,0
"Avila",1,0
"August Complex",357,0
"Atlas",1372,0
"Argyle",1,0
"Arden",25,0
"Apple",114,0
"Apache",81,0
"Anzar",27,0
"Antelope",131,0
"Andrew",3,0
"Amorosa ",1,0
"Amorosa",1,0
"Alta",7,0
"Alisal",183,0
"Alamo",15,0
"Airport",379,0
"Agua",20,0
"Aero",90,0
"Academy",7,0
"Aborn",1,0
"99",1,0
"46th",95,0
"4-8",1,0
"18-1",3,0
"1-6 Debi",8,0
"1-4",17,0
"1 - 1 Mountain",7,0
